ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
1,WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.33,993,,,,,,,1.281,4.65633,4.04534
2,Kepler-50 b,,0.0825598,7.8125124,,,,,KOI-262,,,,,,0.196096,,
3,NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,2MASS J15525613+1254446,,,,,,,,
4,Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,KOI-70,,,,,,0.170247,6.5,3.16465
5,HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.909,91.2,WASP-40,,,,,,1.02,0.771559,3.16797
6,HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,2MASS J13203954+2438555,116029,,65117,,,,,
7,HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,,219828,,115100,,,,,0
8,Kepler-11 c,0.04247,0.106909,13.0241,0.0256125,51.3402,2455582.016,,KOI-157,,,,,,0.255816,0.66,
9,HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,GJ 3021,1237,,1292,3021,,,,0
10,WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.042,37.2,2MASS J23095825+1823459,,,,,,1.07,0.3192,2.80901
11,HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,,4308,,3497,,,,,0
12,WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.996,75.5,2MASS J13012637-2731199,,,,,,1.22,0.42161,2.97969
13,HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,,24040,,17960,,,,,0
14,HD 200964 b,1.94873,1.64347,613.8,0.04,288,2454900,34.5,2MASS J21063983+0348110,200964,,104202,,,,,
15,HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,,147018,,80250,,,,,0
16,HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,2MASS J23091067-0215385,218566,,114322,,,,,
17,HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817,7.22,,45364,,30579,,,,,0
18,HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,,141937,,77740,,,,,0
19,HD 156668 b,0.0130582,0.0499846,4.6455,0,90,2454718.57,1.89,,156668,,84607,,,,,
20,MOA-2009-BLG-387L b,,1.76808,1970,,,,,,,,,,,,,
21,Kepler-32 f,,0.0130732,0.74296,0,90,2454965.54,,KOI-952,,,,,,0.0730903,,
22,GJ 649 b,0.325341,1.13179,598.3,0.3,352,2452876,12.4,,,,83043,649,,,,
23,HD 132406 b,5.60495,1.98227,974,0.34,214,2453474,115,,132406,,73146,,,,,0
24,HD 38529 c,12.2603,3.6002,2146.0503,0.355094,17.9023,2452255.921,169.033,,38529,1988,27253,,,,,0
25,Kepler-62 b,,0.0552794,5.714932,0.0707107,278.13,2455001.21,,KOI-701,,,,,,0.116766,,
26,Kepler-49 c,,0.07889,10.9129343,,,,,KOI-248,,,,,,0.227293,,
27,Kepler-55 c,,0.202122,42.1516418,,,,,KOI-904,,,,,,0.196987,,
28,WASP-19 b,1.11405,0.0163152,0.78884,0.0046,3,2455168.771,257,,,,,,,1.386,0.438,3.1798
29,Kepler-26 b,0,0.0902469,12.282356,0,90,2454978.832,,KOI-250,,,,,,,,
30,HD 126614 A b,0.385706,2.36847,1244,0.41,243,2453808,7.3,,126614,,70623,,,,,0
31,HD 177830 b,1.31967,1.13872,410.1,0.096,189,2450254,32.64,,177830,,93746,743.2,,,,0
32,HD 38283 b,0.338157,1.02382,363.2,0.41,219,2450802.6,10,2MASS J05370199-7341574,38283,,26380,,,,,
33,HD 217786 b,13.1868,2.3791,1319,0.4,100,2456053,261,2MASS J23030822-0025465,217786,,113834,,,,,
34,HD 32518 b,3.34549,0.595162,157.54,0.01,306.11,2452950.29,115.83,,32518,1636,24003,,,,,0
35,WASP-18 b,10.0636,0.0201401,0.9414529,0.00848,267.9,2454664.429,1818.3,,10069,,7562,,,1.267,10.2809,4.20041
36,CoRoT-6 b,2.95325,0.0854177,8.886593,0,90,2454595.614,280,2MASS J18441740+0639474,,,,,,1.166,2.32,3.73216
37,HD 73267 b,3.06257,2.19849,1260,0.256,229.1,2451821.7,64.29,,73267,,42202,,,,,0
38,HD 147513 b,1.17965,1.30958,528.40002,0.26,282,2451123,29.3,,147513,6094,80337,9559,,,,0
39,HD 72659 b,3.1741,4.75375,3658,0.22,260.7,2455351,41,,72659,,42030,,,,,0
40,BD +14 4559 b,1.51929,0.775866,268.94,0.29,87.64,2453293.71,55.21,,,,104780,,,,,0
41,Kepler-79 b,,0.114456,13.485,,,,,KOI-152,,,,,,0.231,,
42,HD 197037 b,0.807324,2.07477,1035.7,0.22,298,2451353.1,15.5,2MASS J20393296+4214549,197037,,101948,,,,,
43,HD 70642 b,1.90944,3.18072,2068,0.034,205,2451350,30.4,,70642,,40952,,,,,0
44,KELT-2 A b,1.52019,0.0549707,4.1137912,0,90,2455974.603,161.1,,42176,,29301,,,1.286,0.948085,3.35962
45,Kepler-10 b,0.0142142,0.0167573,0.837495,0,90,2454964.574,3.3,KOI-72,,,,,,0.126327,8.8,3.35016
46,HD 40307 c,0.0211468,0.0800702,9.62,0,0,2454551.53,2.47,,40307,,27887,2046,,,,0
47,HD 142 b,1.3057,1.04292,350.3,0.26,303,2451963,33.9,2MASS J00061921-4904307,142,6,522,4.2,,,,0
48,WASP-10 b,3.19034,0.0384536,3.0927616,0.0507142,153.283,2454664.537,520.1,,,,,,,1.08,3.11,3.81739
49,GJ 328 b,2.3,4.43476,4100,0.37,290,2454500,40,2MASS J08550761+0132472,,,43790,,,,,
50,WASP-17 b,0.507667,0.0499354,3.735433,0,90,2454559.181,59.2,USNO-B1.0 0619-0419495,,,,,,1.932,0.1915,2.5063
51,HAT-P-17 b,0.530106,0.0882385,10.338523,0.346,201,2454792.87,58.4,2MASS J21380873+3029193,,,,,,1.01,0.64,3.11244
52,HD 102329 b,4.47808,1.80892,778.1,0.211,178,2455096,84.8,2MASS J11464664+0328273,102329,,57467,,,,,
53,HD 159868 b,2.20004,2.29553,1178.4,0.01,350,2453435,38.3,,159868,,86375,,,,,0
54,HD 114783 b,1.10505,1.15987,493.7,0.144,86,2453806,31.9,,114783,,64457,3769,,,,0
55,GJ 581 e,0.00613456,0.028459,3.14945,0.32,236,2454750.31,1.96,,,,74995,581,,,,0
56,epsilon Ret b,1.37669,1.19471,428.1,0.06,216,2450836,32.2,,27442,1355,19921,,,,,0
57,GJ 674 b,0.034879,0.0386657,4.6938,0.2,143,2453780.085,8.7,,,,85523,674,,,,0
58,Kepler-57 c,,0.0942979,11.6092567,,,,,KOI-1270,,,,,,0.138158,,
59,HD 168443 c,17.3857,2.85281,1749.83,0.2113,64.87,2455599.9,297.7,,168443,,89844,4052,,,,0
60,WASP-57 b,0.675475,0.0386362,2.838971,0,90,2455717.878,100,2MASS J14551682-0203275,,,,,,0.916,0.11576,
61,HAT-P-37 b,1.1719,0.0379273,2.79736,0.058,164,2455642.67,177.7,2MASS J18571105+5116088,,,,,,1.178,0.89,3.32484
62,HD 81040 b,6.87654,1.9372,1001.7,0.526,81.3,2452504,168,,81040,,46076,,,,,0
63,HD 208527 b,10.014,2.099,875.5,0.08,278,2450745.3,155.4,2MASS J21562398+2114233,208527,8372,108296,841.1,,,,
64,Kepler-28 b,0,0.0581375,5.91213,0,90,2454975.623,,KOI-870,,,,,,0.320884,,
65,HAT-P-32 b,0.950561,0.0344203,2.150009,0.163,52,2454415.982,136.1,2MASS J02041028+4641162,,,,,,2.037,0.14,2.75237
66,GJ 163 c,0.0215524,0.125354,25.63058,0.099,3.962,2452922.23,2.75,2MASS J04091567-5322254,,,19394,,,,,
67,HD 95089 b,1.12925,1.38575,507,0.157,317,2454983,23.5,,95089,,53666,,,,,
68,XO-3 b,13.0547,0.0477112,3.1915426,0.2884,346.3,2454024.728,1488,GSC 03727-01064,,,,,,1.217,3.92729,3.9354
69,HD 114729 b,0.944758,2.10235,1114,0.167,93,2450520,18.8,,114729,,64459,,,,,0
70,HD 100655 b,1.33352,0.682908,157.57,0.085,132,2453072.4,35.2,2MASS J11350375+2026295,100655,4459,56508,,,,,
71,HD 142415 b,1.66194,1.06061,386.29999,0.5,255,2451519,51.3,,142415,,78169,,,,,0
72,CoRoT-9 b,0.843564,0.406991,95.2738,0.11,37,2454591.853,38,2MASS J18430881+0612150,,,,,,1.05,0.9,3.2754
73,HD 114386 b,1.3637,1.72685,937.70001,0.23,273,2450454,34.3,,114386,,64295,,,,,0
74,HD 103197 b,0.0982431,0.249018,47.84,0,0,2454826,5.9,2MASS J11525298-5017342,103197,,57931,,,,,
