O5V,#9bb0ff
O6V,#a2b8ff
O7V,#9db1ff
O8V,#9db1ff
O9V,#9ab2ff
O9.5V,#a4baff
B0V,#9cb2ff
B0.5V,#a7bcff
B1V,#a0b6ff
B2V,#a0b4ff
B3V,#a5b9ff
B4V,#a4b8ff
B5V,#aabfff
B6V,#acbdff
B7V,#adbfff
B8V,#b1c3ff
B9V,#b5c6ff
A0V,#b9c9ff
A1V,#b5c7ff
A2V,#bbcbff
A3V,#bfcfff
A5V,#cad7ff
A6V,#c7d4ff
A7V,#c8d5ff
A8V,#d5deff
A9V,#dbe0ff
F0V,#e0e5ff
F2V,#ecefff
F4V,#e0e2ff
F5V,#f8f7ff
F6V,#f4f1ff
F7V,#f6f3ff
F8V,#fff7fc
F9V,#fff7fc
G0V,#fff8fc
G1V,#fff7f8
G2V,#fff5f2
G4V,#fff1e5
G5V,#fff4ea
G6V,#fff4eb
G7V,#fff4eb
G8V,#ffedde
G9V,#ffefdd
K0V,#ffeedd
K1V,#ffe0bc
K2V,#ffe3c4
K3V,#ffdec3
K4V,#ffd8b5
K5V,#ffd2a1
K7V,#ffc78e
K8V,#ffd1ae
M0V,#ffc38b
M1V,#ffcc8e
M2V,#ffc483
M3V,#ffce81
M4V,#ffc97f
M5V,#ffcc6f
M6V,#ffc370
M8V,#ffc66d
B1IV,#9db4ff
B2IV,#9fb3ff
B3IV,#a6bcff
B6IV,#afc2ff
B7IV,#aabdff
B9IV,#b4c5ff
A0IV,#b3c5ff
A3IV,#becdff
A4IV,#c3d2ff
A5IV,#d4dcff
A7IV,#c0cfff
A9IV,#e0e3ff
F0IV,#dae0ff
F2IV,#e3e6ff
F3IV,#e3e6ff
F5IV,#f1efff
F7IV,#f0efff
F8IV,#fffcfd
G0IV,#fff8f5
G2IV,#fff4f2
G3IV,#ffeee2
G4IV,#fff5ee
G5IV,#ffebd5
G6IV,#fff2ea
G7IV,#ffe7cd
G8IV,#ffe9d3
K0IV,#ffe1bd
K1IV,#ffd8ab
K2IV,#ffe5ca
K3IV,#ffdba7
O7III,#9eb1ff
O8III,#9db2ff
O9III,#9eb1ff
B0III,#9eb1ff
B1III,#9eb1ff
B2III,#9fb4ff
B3III,#a3bbff
B5III,#a8bdff
B7III,#abbfff
B9III,#b2c3ff
A0III,#bccdff
A3III,#bdcbff
A5III,#cad7ff
A6III,#d1dbff
A7III,#d2dbff
A8III,#d1dbff
A9III,#d1dbff
F0III,#d5deff
F2III,#f1f1ff
F4III,#f1f0ff
F5III,#f2f0ff
F6III,#f1f0ff
F7III,#f1f0ff
G0III,#fff2e9
G1III,#fff3e9
G2III,#fff3e9
G3III,#fff3e9
G4III,#fff3e9
G5III,#ffecd3
G6III,#ffecd7
G8III,#ffe7c7
G9III,#ffe7c4
K0III,#ffe3be
K1III,#ffdfb5
K2III,#ffddaf
K3III,#ffd8a7
K4III,#ffd392
K5III,#ffcc8a
K7III,#ffd08e
M0III,#ffcb84
M1III,#ffc879
M2III,#ffc676
M3III,#ffc877
M4III,#ffce7f
M5III,#ffc57c
M6III,#ffb279
M7III,#ffa561
M8III,#ffa761
M9III,#ffe99a
B2II,#a5c0ff
B5II,#afc3ff
F0II,#cbd9ff
F2II,#e5e9ff
G5II,#ffebcb
M3II,#ffc977
O9I,#a4b9ff
B0I,#a1bdff
B1I,#a8c1ff
B2I,#b1c4ff
B3I,#afc2ff
B4I,#bbcbff
B5I,#b3caff
B6I,#bfcfff
B7I,#c3d1ff
B8I,#b6ceff
B9I,#ccd8ff
A0I,#bbceff
A1I,#d6dfff
A2I,#c7d6ff
A5I,#dfe5ff
F0I,#cad7ff
F2I,#f4f3ff
F5I,#dbe1ff
F8I,#fffcf7
G0I,#ffefdb
G2I,#ffeccd
G3I,#ffe7cb
G5I,#ffe6b7
G8I,#ffdca7
K0I,#ffddb5
K1I,#ffdcb1
K2I,#ffd387
K3I,#ffcc80
K4I,#ffc976
K5I,#ffd19a
M0I,#ffcc8f
M1I,#ffca8a
M2I,#ffc168
M3I,#ffc076
M4I,#ffb968
N,#ff9d00
