3,B,massive,,10000-30000,#AABFFF,2.9-18,1.8-6.6,"54-52,500",72.00
4,A,large,,7300-10000,#CAD8FF,1.6-2.9,1.4-1.8,6.5-54,1100.00
5,F,solar type,,6000-7300,#FBF8FF,1.05-1.6,1.15-1.4,1.5-6.5,3500.00
6,G,solar type,,5300-6000,#FFF4E8,0.8-1.05,0.96-1.15,0.4-1.5,15000.00
7,K,solar type,,3800-5300,#FFDDBE,0.5-0.8,0.7-0.96,0.08-0.4,53000.00
8,M,sub solar,,2500-3800,#FFBB7B,0.07-0.5,0.1-0.7,10-0.08,190000.00
9,C,carbon star,,2400-3200,#FF5300,0.5-1.1,220-550,0.0001-0.001,
10,S,sub carbon star,,2400-3500,#FF932C,0.2-0.8,0.1-0.7,0.0001-0.001,
11,L,hot brown dwarf,,1300-2100,#8D1400,0.075-0.45,0.01-0.2,0.0001-0.001,
12,T,cool brown dwarf,,600-1300,#51001A,0.012-0.075,0.01-0.2,0.00001-0.001,
13,Y,gas giant,,200-600,#FFDDBE,0.0001-0.012,0.001-0.15,0.0000001-0.00001,
14,D,white dwarf,,200-100000,#828BA4,0.17-1.3,0.008-0.02,0.000001-0.0001,
